objectid,csa2010,temp_median_aft,percent_of_family_households_living_below_the_poverty_line,violent_crime_rate_per_1_000_residents,life_expectancy,unemployment_rate
1,Allendale/Irvington/S. Hilton,94.21298065,20.69506141,19.36239748,69.6,15.31647195
2,Beechfield/Ten Hills/West Hills,93.23271179,10.47490738,11.00782779,73.4,7.757975139
3,Belair-Edison,95.28837051,20.2745771,19.2926045,70.5,14.94080827
4,Brooklyn/Curtis Bay/Hawkins Point,95.07643051,24.21360644,29.90942919,69.2,12.84803757
5,Canton,95.40420074,3.661784288,10.37037037,79.8,2.390766694
6,Cedonia/Frankford,94.4546936,12.18214075,15.62168358,72.2,8.4
7,Cherry Hill,95.07413025,39.33701657,26.70080468,70,11.30111524
8,Chinquapin Park/Belvedere,93.82034645,10.12591815,10.57246003,75.3,11.98494039
9,Claremont/Armistead,95.12466049,24,15.7939497,70.5,13.38418863
10,Clifton-Berea,96.85381241,27.64952781,25.11646749,67.6,17.95783592
11,Cross-Country/Cheswolde,93.42769165,9.894121942,2.838729477,85,5.82925912
12,Dickeyville/Franklintown,89.93185577,17.40890688,9.02218971,74.4,3.485714286
13,Dorchester/Ashburton,94.16145477,17.44510978,15.95112846,71.7,15.56411903
14,Downtown/Seton Hill,95.64413528,6.818181818,80.98045299,65.7,3.874031492
15,Edmondson Village,93.51893997,8.887733888,14.17721519,70.7,12.08762887
16,Fells Point,95.44453773,3.263546798,19.13928532,78.4,2.367750637
17,Forest Park/Walbrook,93.07496872,19.26267281,14.92537313,72.8,12.11984681
18,Glen-Fallstaff,94.67706718,17.76393832,17.36623307,77.1,9.566150544
19,Greater Charles Village/Barclay,96.79648781,18.99141631,23.48849979,74,8.2421875
20,Greater Govans,94.06575012,19.53226505,14.04362887,73,15.44749528
21,Greater Mondawmin,95.05753403,18.76832845,27.35464493,69.4,13.20506062
22,Greater Roland Park/Poplar Hill,93.45869026,2.146892655,3.795580859,83.6,3.174149271
23,Greater Rosemont,94.75569153,23.63387978,27.41575367,68.7,16.02844639
24,Hamilton,93.82443542,8.997655334,11.92124289,72.8,7.095731789
25,Harford/Echodale,93.81069908,10.15709642,12.6492072,75.5,8.239947264
26,Highlandtown,96.26157036,6.652512385,28.13793103,75.2,4.439533949
27,Howard Park/West Arlington,93.54864426,15.47186933,11.31242527,75,10.46901173
28,Inner Harbor/Federal Hill,95.36211967,2.33570863,16.4916375,81,2.273226444
29,Lauraville,93.88126907,7.488679902,8.718324778,75.3,10.61617259
30,Loch Raven,94.11434402,5.385029618,10.31937822,74.4,11.88519847
31,Madison/East End,98.3521656,33.74233129,28.65955533,68.7,21.9123506
32,Medfield/Hampden/Woodberry/Remington,95.08887596,5.980484734,10.86956522,76.6,5.224609375
33,Midway/Coldstream,96.4106514,22.60387812,26.08063175,67.6,25.68875652
34,Morrell Park/Violetville,95.33796692,12.80853903,20.86122267,72.9,9.569509186
35,Mount Washington/Coldspring,92.41999817,1.996370236,10.25541796,79.8,4.261250498
36,North Baltimore/Guilford/Homeland,93.47504272,3.482899278,5.668804398,82.4,6.011315417
37,Northwood,94.37732925,6.609017912,11.3561257,75.2,10.88344864
38,Orangeville/East Highlandtown,95.48383102,13.23671498,39.09757967,73.3,4.942528736
39,Patterson Park North & East,97.24693069,21.68766705,27.35583202,72.3,5.850869724
40,Penn North/Reservoir Hill,94.41559601,25.9645464,17.17004551,70.9,12.46200608
41,Pimlico/Arlington/Hilltop,95.09338722,19.1190253,24.11983751,67.7,15.94521888
42,Poppleton/The Terraces/Hollins Market,95.26587601,44.97237569,30.47581597,66.9,15.96045198
43,Sandtown-Winchester/Harlem Park,95.41974297,35.04508036,27.99409237,68.8,15.11700145
44,South Baltimore,94.88899689,0.826446281,6.08804246,77.1,1.989013071
45,Southeastern,94.87876587,30.28169014,21.4057508,71.4,10.14218009
46,Southern Park Heights,94.70958328,31.62575596,19.42186089,69,20.43119081
47,Southwest Baltimore,95.65152359,35.78324509,33.93905507,67,15.21526419
48,The Waverlies,95.79871979,20.51435407,21.15310203,71.1,10.74851075
49,Washington Village/Pigtown,95.42305603,22.57425743,37.79756496,70.1,13.00597213
50,Westport/Mount Winans/Lakeland,95.28231087,21.82284981,31.60556258,73.3,15.57324841
51,Oldtown/Middle East,97.50748177,40.12629162,38.02015767,69.4,14.17579165
52,Harbor East/Little Italy,95.44820099,26.85827552,41.05788792,71.6,11.63807602
53,Upton/Druid Heights,95.94969254,42.98245614,30.94179076,68.1,12.46514222
54,Midtown,97.09945984,5.419489317,20.83888149,76.3,5.885934646
55,Greenmount East,97.00429077,24.20062696,32.86901271,67.4,23.05882353